dtmnfr;dtmn;freguesia_dsg
010935;0109;União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo
010937;0109;Caldas de São Jorge
010938;0109;Canedo
010939;0109;Gião
010940;0109;Guisande
010941;0109;Lobão
010942;0109;Louredo
010943;0109;Mosteirô
010944;0109;Pigeiros
010945;0109;São Miguel de Souto
010946;0109;Vale
010947;0109;Vila Maior
011005;0110;Gafanha da Encarnação
011006;0110;Gafanha da Nazaré
011007;0110;Gafanha do Carmo
011008;0110;Ílhavo (São Salvador)
011102;0111;Barcouço
011103;0111;Casal Comba
011104;0111;Luso
011106;0111;Pampilhosa
011107;0111;Vacariça
011110;0111;Antes
011111;0111;Mealhada
011112;0111;Ventosa do Bairro
011201;0112;Bunheiro
011202;0112;Monte
011203;0112;Murtosa
011204;0112;Torreira
011301;0113;Carregosa
011302;0113;Cesar
011303;0113;Fajões
011304;0113;Loureiro
011305;0113;Macieira de Sarnes
011310;0113;Ossela
011315;0113;São Martinho da Gândara
011318;0113;São Roque
011319;0113;Vila de Cucujães
011321;0113;União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail
011322;0113;União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz
011323;0113;Nogueira do Cravo
011324;0113;Pindelo
011403;0114;Oiã
011404;0114;Oliveira do Bairro
011405;0114;Palhaça
011407;0114;União das freguesias de Bustos, Troviscal e Mamarrosa
011502;0115;Cortegaça
011503;0115;Esmoriz
011504;0115;Maceda
011507;0115;Válega
011510;0115;Arada
011511;0115;Ovar
011512;0115;São João
011513;0115;São Vicente de Pereira Jusã
011601;0116;São João da Madeira
011702;0117;Couto de Esteves
011704;0117;Pessegueiro do Vouga
011705;0117;Rocas do Vouga
011706;0117;Sever do Vouga
011708;0117;Talhadas
011712;0117;Cedrim
011713;0117;Dornelas
011714;0117;Paradela
011715;0117;Silva Escura
011801;0118;Calvão
011804;0118;Gafanha da Boa Hora
011805;0118;Ouca
011807;0118;Sosa
011810;0118;Santo André de Vagos
011815;0118;Covão do Lobo
011816;0118;Fonte de Angeão
011817;0118;Ponte de Vagos
011818;0118;Santa Catarina
011819;0118;Santo António
011820;0118;Vagos
011901;0119;Arões
011902;0119;São Pedro de Castelões
011903;0119;Cepelos
011905;0119;Junqueira
011906;0119;Macieira de Cambra
011907;0119;Roge
011910;0119;União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho
020102;0201;Ervidel
020103;0201;Messejana
020104;0201;São João de Negrilhos
020107;0201;Aljustrel
020108;0201;Rio de Moinhos
020203;0202;Rosário
020205;0202;Santa Cruz
020206;0202;São Barnabé
020208;0202;Aldeia dos Fernandes
020211;0202;Almodôvar
020212;0202;Gomes Aires
020213;0202;Santa Clara-a-Nova
020214;0202;Senhora da Graça dos Padrões
020301;0203;Alvito
020302;0203;Vila Nova da Baronia
020401;0204;Barrancos
020502;0205;Baleizão
020503;0205;Beringel
020504;0205;Cabeça Gorda
020506;0205;Nossa Senhora das Neves
020510;0205;Santa Clara de Louredo
020516;0205;São Matias
020519;0205;União das freguesias de Albernoa e Trindade
020520;0205;União das freguesias de Beja (Salvador e Santa Maria da Feira)
020521;0205;União das freguesias de Beja (Santiago Maior e São João Baptista)
020522;0205;União das freguesias de Salvada e Quintos
020523;0205;União das freguesias de Santa Vitória e Mombeja
020524;0205;União das freguesias de Trigaches e São Brissos
020603;0206;Entradas
020604;0206;Santa Bárbara de Padrões
020605;0206;São Marcos da Ataboeira
020606;0206;União das freguesias de Castro Verde e Casével
020701;0207;Cuba
020702;0207;Faro do Alentejo
020703;0207;Vila Alva
020704;0207;Vila Ruiva
020803;0208;Figueira dos Cavaleiros
020804;0208;Odivelas
020809;0208;Alfundão
020810;0208;Canhestros
020811;0208;Ferreira do Alentejo
020812;0208;Peroguarda
020901;0209;Alcaria Ruiva
020902;0209;Corte do Pinto
020903;0209;Espírito Santo
020904;0209;Mértola
020905;0209;Santana de Cambas
020906;0209;São João dos Caldeireiros
020910;0209;União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros
021001;0210;Amareleja
021002;0210;Póvoa de São Miguel
021008;0210;Sobral da Adiça
021009;0210;União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador
021011;0210;Safara
021012;0210;Santo Aleixo da Restauração
021102;0211;Relíquias
021103;0211;Sabóia
021106;0211;São Luís
021107;0211;São Martinho das Amoreiras
021111;0211;Vila Nova de Milfontes
021115;0211;Luzianes-Gare
021116;0211;Boavista dos Pinheiros
021117;0211;Longueira/Almograve
021119;0211;Santa Clara-a-Velha
021120;0211;São Salvador e Santa Maria
021121;0211;São Teotónio
021123;0211;Bicos
021124;0211;Colos
021125;0211;Vale de Santiago
021203;0212;Ourique
021206;0212;Santana da Serra
021208;0212;União das freguesias de Panoias e Conceição
021209;0212;Garvão
021210;0212;Santa Luzia
021302;0213;Brinches
021303;0213;Pias
021307;0213;Vila Verde de Ficalho
021308;0213;União das freguesias de Serpa (Salvador e Santa Maria)
021310;0213;Vale de Vargo
021311;0213;Vila Nova de São Bento
021401;0214;Pedrógão
021402;0214;Selmes
021403;0214;Vidigueira
021404;0214;Vila de Frades
030102;0301;Barreiros
030104;0301;Bico
030105;0301;Caires
030107;0301;Carrazedo
030108;0301;Dornelas
030111;0301;Fiscal
030112;0301;Goães
030113;0301;Lago
030118;0301;Rendufe
030119;0301;Bouro (Santa Maria)
030120;0301;Bouro (Santa Marta)
030125;0301;União das freguesias de Amares e Figueiredo
030126;0301;União das freguesias de Caldelas, Sequeiros e Paranhos
030127;0301;União das freguesias de Ferreiros, Prozelo e Besteiros
030128;0301;União das freguesias de Torre e Portela
030129;0301;União das freguesias de Vilela, Seramil e Paredes Secas
030201;0302;Abade de Neiva
030202;0302;Aborim
030203;0302;Adães
030205;0302;Airó
030206;0302;Aldreu
030208;0302;Alvelos
030209;0302;Arcozelo
030210;0302;Areias
030212;0302;Balugães
030213;0302;Barcelinhos
030215;0302;Barqueiros
030216;0302;Cambeses
030218;0302;Carapeços
030220;0302;Carvalhal
030221;0302;Carvalhas
030224;0302;Cossourado
030228;0302;Cristelo
030234;0302;Fornelos
030235;0302;Fragoso
030237;0302;Gilmonde
030242;0302;Lama
030243;0302;Lijó
030244;0302;Macieira de Rates
030245;0302;Manhente
030247;0302;Martim
030252;0302;Moure
030254;0302;Oliveira
030255;0302;Palme
030256;0302;Panque
030257;0302;Paradela
030259;0302;Pereira
030260;0302;Perelhal
030261;0302;Pousa
030263;0302;Remelhe
030264;0302;Roriz
030265;0302;Rio Covo (Santa Eugénia)
030268;0302;Galegos (Santa Maria)
030272;0302;Galegos (São Martinho)
030277;0302;Tamel (São Veríssimo)
030279;0302;Silva
030282;0302;Ucha
030283;0302;Várzea
030287;0302;Vila Seca
030290;0302;União das freguesias de Alheira e Igreja Nova
030291;0302;União das freguesias de Alvito (São Pedro e São Martinho) e Couto
030292;0302;União das freguesias de Areias de Vilar e Encourados
030294;0302;União das freguesias de Campo e Tamel (São Pedro Fins)
030295;0302;União das freguesias de Carreira e Fonte Coberta
030296;0302;União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral
030297;0302;União das freguesias de Creixomil e Mariz
030298;0302;União das freguesias de Durrães e Tregosa
030299;0302;União das freguesias de Gamil e Midões
0302FA;0302;União das freguesias de Milhazes, Vilar de Figos e Faria
0302FB;0302;União das freguesias de Negreiros e Chavão
0302FC;0302;União das freguesias de Quintiães e Aguiar
0302FD;0302;União das freguesias de Sequeade e Bastuço (São João e Santo Estevão)
0302FF;0302;União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte
0302FG;0302;União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães
0302FH;0302;União das freguesias de Vila Cova e Feitos
0302FI;0302;Barcelos
0302FJ;0302;Rio Covo (Santa Eulália)
0302FK;0302;Silveiros
0302FL;0302;Vila Boa
0302FM;0302;Vila Frescainha (São Martinho)
0302FN;0302;Vila Frescainha (São Pedro)
030301;0303;Adaúfe
030312;0303;Espinho
030313;0303;Esporões
030315;0303;Figueiredo
030319;0303;Gualtar
030322;0303;Lamas
030325;0303;Mire de Tibães
030330;0303;Padim da Graça
030331;0303;Palmeira
030334;0303;Pedralva
030336;0303;Priscos
030338;0303;Ruilhe
030349;0303;Braga (São Vicente)
030351;0303;Braga (São Vítor)
030354;0303;Sequeira
030355;0303;Sobreposta
030356;0303;Tadim
030357;0303;Tebosa
030363;0303;União das freguesias de Arentim e Cunha
030364;0303;União das freguesias de Braga (Maximinos, Sé e Cividade)
030365;0303;União das freguesias de Braga (São José de São Lázaro e São João do Souto)
030366;0303;União das freguesias de Cabreiros e Passos (São Julião)
030367;0303;União das freguesias de Celeirós, Aveleda e Vimieiro
030368;0303;União das freguesias de Crespos e Pousada
030369;0303;União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente)
030370;0303;União das freguesias de Este (São Pedro e São Mamede)
030371;0303;União das freguesias de Ferreiros e Gondizalves
030372;0303;União das freguesias de Guisande e Oliveira (São Pedro)
030373;0303;União das freguesias de Lomar e Arcos
030374;0303;União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães
030375;0303;União das freguesias de Merelim (São Pedro) e Frossos
030376;0303;União das freguesias de Morreira e Trandeiras
030377;0303;União das freguesias de Nogueira, Fraião e Lamaçães
030378;0303;União das freguesias de Nogueiró e Tenões
030379;0303;União das freguesias de Real, Dume e Semelhe
030380;0303;União das freguesias de Santa Lucrécia de Algeriz e Navarra
030381;0303;União das freguesias de Vilaça e Fradelos
030401;0304;Abadim
030404;0304;Basto
030405;0304;Bucos
030406;0304;Cabeceiras de Basto
030407;0304;Cavez
030408;0304;Faia
030413;0304;Pedraça
030415;0304;Rio Douro
030418;0304;União das freguesias de Alvite e Passos
030419;0304;União das freguesias de Arco de Baúlhe e Vila Nune
030420;0304;União das freguesias de Gondiães e Vilar de Cunhas
030422;0304;Outeiro
030423;0304;Painzela
030424;0304;Refojos de Basto
030501;0305;Agilde
030502;0305;Arnóia
030503;0305;Borba de Montanha
030508;0305;Codeçoso
030510;0305;Fervença
030515;0305;Moreira do Castelo
030517;0305;Rego
030518;0305;Ribas
030520;0305;Basto (São Clemente)
030521;0305;Vale de Bouro
030523;0305;União das freguesias de Britelo, Gémeos e Ourilhe
030524;0305;União das freguesias de Caçarilhe e Infesta
030525;0305;União das freguesias de Canedo de Basto e Corgo
030526;0305;União das freguesias de Carvalho e Basto (Santa Tecla)
030527;0305;União das freguesias de Veade, Gagos e Molares
030601;0306;Antas
030608;0306;Forjães
030610;0306;Gemeses
030615;0306;Vila Chã
030619;0306;União das freguesias de Fonte Boa e Rio Tinto
030621;0306;Apúlia
030622;0306;Belinho
030623;0306;Curvos
030624;0306;Esposende
030625;0306;Fão
030626;0306;Gandra
030627;0306;Mar
030628;0306;Marinhas
030629;0306;Palmeira de Faro
030705;0307;Armil
030708;0307;Estorãos
030709;0307;Fafe
030712;0307;Fornelos
030714;0307;Golães
030716;0307;Medelo
030719;0307;Paços
030722;0307;Quinchães
030723;0307;Regadas
030724;0307;Revelhe
030725;0307;Ribeiros
030726;0307;Arões (Santa Cristina)
030728;0307;São Gens
030729;0307;Silvares (São Martinho)
030730;0307;Arões (São Romão)
030733;0307;Travassós
030736;0307;Vinhós
030737;0307;União de freguesias de Aboim, Felgueiras, Gontim e Pedraído
030738;0307;União de freguesias de Agrela e Serafão
030739;0307;União de freguesias de Antime e Silvares (São Clemente)
030740;0307;União de freguesias de Ardegão, Arnozela e Seidões
030741;0307;União de freguesias de Cepães e Fareja
030742;0307;União de freguesias de Freitas e Vila Cova
030743;0307;União de freguesias de Monte e Queimadela
030744;0307;União de freguesias de Moreira do Rei e Várzea Cova
030801;0308;Aldão
030804;0308;Azurém
030806;0308;Barco
030807;0308;Brito
030808;0308;Caldelas
030812;0308;Costa
030813;0308;Creixomil
030815;0308;Fermentões
030820;0308;Gonça
030821;0308;Gondar
030823;0308;Guardizela
030824;0308;Infantas
030827;0308;Longos
030828;0308;Lordelo
030830;0308;Mesão Frio
030831;0308;Moreira de Cónegos
030832;0308;Nespereira
030835;0308;Pencelo
030836;0308;Pinheiro
030837;0308;Polvoreira
030838;0308;Ponte
030840;0308;Ronfe
030842;0308;Prazins (Santa Eufémia)
030850;0308;Selho (São Cristóvão)
030854;0308;Selho (São Jorge)
030857;0308;Candoso (São Martinho)
030858;0308;Sande (São Martinho)
030865;0308;São Torcato
030866;0308;Serzedelo
030868;0308;Silvares
030871;0308;Urgezes
030875;0308;União das freguesias de Abação e Gémeos
030877;0308;União das freguesias de Arosa e Castelões
030878;0308;União das freguesias de Atães e Rendufe
030879;0308;União das freguesias de Briteiros Santo Estêvão e Donim
030880;0308;União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia
030881;0308;União das freguesias de Candoso São Tiago e Mascotelos
030883;0308;União das freguesias de Leitões, Oleiros e Figueiredo
030884;0308;União das freguesias de Oliveira, São Paio e São Sebastião
030886;0308;União das freguesias de Sande São Lourenço e Balazar
030888;0308;União das freguesias de Selho São Lourenço e Gominhães
030890;0308;União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar
030892;0308;Airão (Santa Maria)
030893;0308;Airão São João
030894;0308;Calvos
030895;0308;Conde
030896;0308;Corvite
030897;0308;Gandarela
030898;0308;Prazins Santo Tirso
030899;0308;Sande (São Clemente)
0308FA;0308;Sande (Vila Nova)
0308FB;0308;São Faustino
0308FC;0308;Serzedo
0308FD;0308;Tabuadelo
0308FE;0308;Vermil
030906;0309;Covelas
030908;0309;Ferreiros
030912;0309;Galegos
030913;0309;Garfe
030914;0309;Geraz do Minho
030915;0309;Lanhoso
030917;0309;Monsul
030919;0309;Póvoa de Lanhoso (Nossa Senhora do Amparo)
030921;0309;Rendufinho
030922;0309;Santo Emilião
030923;0309;São João de Rei
030924;0309;Serzedelo
030925;0309;Sobradelo da Goma
030926;0309;Taíde
030927;0309;Travassos
030929;0309;Vilela
030930;0309;União das freguesias de Águas Santas e Moure
030931;0309;União das freguesias de Calvos e Frades
030932;0309;União das freguesias de Campos e Louredo
030933;0309;União das freguesias de Esperança e Brunhais
030934;0309;União das freguesias de Fonte Arcada e Oliveira
030935;0309;União das freguesias de Verim, Friande e Ajude
031001;0310;Balança
031003;0310;Campo do Gerês
031004;0310;Carvalheira
031008;0310;Covide
031009;0310;Gondoriz
031010;0310;Moimenta
031012;0310;Ribeira
031013;0310;Rio Caldo
031014;0310;Souto
031015;0310;Valdosende
031017;0310;Vilar da Veiga
031018;0310;União das freguesias de Chamoim e Vilar
031019;0310;União das freguesias de Chorense e Monte
031020;0310;União das freguesias de Cibões e Brufe
031105;0311;Cantelães
031107;0311;Eira Vedra
031108;0311;Guilhofrei
031109;0311;Louredo
031110;0311;Mosteiro
031111;0311;Parada de Bouro
031112;0311;Pinheiro
031113;0311;Rossas
031115;0311;Salamonde
031118;0311;Tabuaças
031120;0311;Vieira do Minho
031122;0311;União das freguesias de Anissó e Soutelo
031123;0311;União das freguesias de Anjos e Vilar do Chão
031124;0311;União das freguesias de Caniçada e Soengas
031125;0311;União das freguesias de Ruivães e Campos
031126;0311;União das freguesias de Ventosa e Cova
031204;0312;Bairro
031206;0312;Brufe
031210;0312;Castelões
031212;0312;Cruz
031213;0312;Delães
031215;0312;Fradelos
031216;0312;Gavião
031219;0312;Joane
031221;0312;Landim
031223;0312;Louro
031224;0312;Lousado
031225;0312;Mogege
031227;0312;Nine
031230;0312;Pedome
031232;0312;Pousada de Saramagos
031233;0312;Requião
031234;0312;Riba de Ave
031235;0312;Ribeirão
031239;0312;Oliveira (Santa Maria)
031241;0312;Vale (São Martinho)
031242;0312;Oliveira (São Mateus)
031247;0312;Vermoim
031249;0312;Vilarinho das Cambas
031250;0312;União das freguesias de Antas e Abade de Vermoim
031251;0312;União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures
031253;0312;União das freguesias de Carreira e Bente
031256;0312;União das freguesias de Lemenhe, Mouquim e Jesufrei
031258;0312;União das freguesias de Seide
031259;0312;União das freguesias de Vale (São Cosme), Telhado e Portela
031260;0312;União das freguesias de Vila Nova de Famalicão e Calendário
031261;0312;Avidos
031262;0312;Cabeçudos
031263;0312;Cavalões
031264;0312;Esmeriz
031265;0312;Gondifelos
031266;0312;Lagoa
031267;0312;Novais
031268;0312;Outiz
031269;0312;Ruivães
031304;0313;Atiães
031308;0313;Cabanelas
031309;0313;Cervães
031311;0313;Coucieiro
031313;0313;Dossãos
031316;0313;Freiriz
031317;0313;Gême
031323;0313;Lage
031324;0313;Lanhas
031325;0313;Loureira
031328;0313;Moure
031330;0313;Oleiros
031331;0313;Parada de Gatim
031335;0313;Pico
031337;0313;Ponte
031340;0313;Sabariz
031342;0313;Vila de Prado
031350;0313;Prado (São Miguel)
031352;0313;Soutelo
031354;0313;Turiz
031355;0313;Valdreu
031359;0313;Aboim da Nóbrega e Gondomar
031360;0313;União das freguesias da Ribeira do Neiva
031361;0313;União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago)
031362;0313;União das freguesias de Escariz (São Mamede) e Escariz (São Martinho)
031363;0313;União das freguesias de Esqueiros, Nevogilde e Travassós
031364;0313;União das freguesias de Marrancos e Arcozelo
031365;0313;União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel)
031366;0313;União das freguesias de Pico de Regalados, Gondiães e Mós
031367;0313;União das freguesias de Sande, Vilarinho, Barros e Gomide
031368;0313;União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)
031369;0313;União das freguesias do Vade
031370;0313;Vila Verde e Barbudo
031401;0314;Santa Eulália
031404;0314;Infias
031406;0314;Vizela (Santo Adrião)
031408;0314;União das freguesias de Caldas de Vizela (São Miguel e São João)
031410;0314;Tagilde
031411;0314;Vizela (São Paio)
040102;0401;Alfândega da Fé
040103;0401;Cerejais
040111;0401;Sambade
040118;0401;Vilar Chão
040119;0401;Vilarelhos
040120;0401;Vilares de Vilariça
040121;0401;União das freguesias de Agrobom, Saldonha e Vale Pereiro
040122;0401;União das freguesias de Eucisia, Gouveia e Valverde
040123;0401;União das freguesias de Ferradosa e Sendim da Serra
040124;0401;União das freguesias de Gebelim e Soeima
040125;0401;União das freguesias de Parada e Sendim da Ribeira
040126;0401;União das freguesias de Pombal e Vales
040201;0402;Alfaião
040203;0402;Babe
040204;0402;Baçal
040206;0402;Carragosa
040209;0402;Castro de Avelãs
040210;0402;Coelhoso
040212;0402;Donai
040213;0402;Espinhosela
040215;0402;França
040216;0402;Gimonde
040217;0402;Gondesende
040218;0402;Gostei
040219;0402;Grijó de Parada
040221;0402;Macedo do Mato
040224;0402;Mós
040225;0402;Nogueira
040226;0402;Outeiro
040229;0402;Parâmio
040230;0402;Pinela
040232;0402;Quintanilha
040233;0402;Quintela de Lampaças
040234;0402;Rabal
040236;0402;Rebordãos
040239;0402;Salsas
040240;0402;Samil
040241;0402;Santa Comba de Rossas
040244;0402;São Pedro de Sarracenos
040246;0402;Sendas
040247;0402;Serapicos
040248;0402;Sortes
040249;0402;Zoio
040250;0402;União das freguesias de Aveleda e Rio de Onor
040251;0402;União das freguesias de Castrelos e Carrazedo
040252;0402;União das freguesias de Izeda, Calvelhe e Paradinha Nova
040253;0402;União das freguesias de Parada e Faílde
040254;0402;União das freguesias de Rebordainhos e Pombares
040255;0402;União das freguesias de Rio Frio e Milhão
040256;0402;União das freguesias de São Julião de Palácios e Deilão
040257;0402;União das freguesias de Sé, Santa Maria e Meixedo
040304;0403;Carrazeda de Ansiães
040306;0403;Fonte Longa
040308;0403;Linhares
040309;0403;Marzagão
040311;0403;Parambos
040312;0403;Pereiros
040313;0403;Pinhal do Norte
040314;0403;Pombal
040316;0403;Seixo de Ansiães
040318;0403;Vilarinho da Castanheira
040320;0403;União das freguesias de Amedo e Zedes
040321;0403;União das freguesias de Belver e Mogo de Malta
040322;0403;União das freguesias de Castanheiro do Norte e Ribalonga
040323;0403;União das freguesias de Lavandeira, Beira Grande e Selores
040404;0404;Ligares
040406;0404;Poiares
040407;0404;União das freguesias de Freixo de Espada à Cinta e Mazouco
040408;0404;União das freguesias de Lagoaça e Fornos
040502;0405;Amendoeira
040503;0405;Arcas
040507;0405;Carrapatas
040509;0405;Chacim
040510;0405;Cortiços
040511;0405;Corujas
040514;0405;Ferreira
040515;0405;Grijó
040516;0405;Lagoa
040517;0405;Lamalonga
040518;0405;Lamas
040519;0405;Lombo
040520;0405;Macedo de Cavaleiros
040521;0405;Morais
040523;0405;Olmos
040524;0405;Peredo
040526;0405;Salselas
040528;0405;Sezulfe
040530;0405;Talhas
040532;0405;Vale Benfeito
040533;0405;Vale da Porca
040534;0405;Vale de Prados
040536;0405;Vilarinho de Agrochão
040538;0405;Vinhas
040539;0405;União das freguesias de Ala e Vilarinho do Monte
040540;0405;União das freguesias de Bornes e Burga
040541;0405;União das freguesias de Castelãos e Vilar do Monte
040542;0405;União das freguesias de Espadanedo, Edroso, Murçós e Soutelo Mourisco
040543;0405;União das freguesias de Podence e Santa Combinha
040544;0405;União das freguesias de Talhinhas e Bagueixe
040604;0406;Duas Igrejas
040605;0406;Genísio
040607;0406;Malhadas
040608;0406;Miranda do Douro
040609;0406;Palaçoulo
040611;0406;Picote
040612;0406;Póvoa
040613;0406;São Martinho de Angueira
040616;0406;Vila Chã de Braciosa
040618;0406;União das freguesias de Constantim e Cicouro
040619;0406;União das freguesias de Ifanes e Paradela
040620;0406;União das freguesias de Sendim e Atenor
040621;0406;União das freguesias de Silva e Águas Vivas
040701;0407;Abambres
040702;0407;Abreiro
040703;0407;Aguieiras
040704;0407;Alvites
040708;0407;Bouça
040709;0407;Cabanelas
040710;0407;Caravelas
040711;0407;Carvalhais
040712;0407;Cedães
040713;0407;Cobro
040714;0407;Fradizela
040716;0407;Frechas
040718;0407;Lamas de Orelhão
040720;0407;Mascarenhas
040721;0407;Mirandela
040722;0407;Múrias
040724;0407;Passos
040727;0407;São Pedro Velho
040728;0407;São Salvador
040729;0407;Suçães
040730;0407;Torre de Dona Chama
040731;0407;Vale de Asnes
040732;0407;Vale de Gouvinhas
040733;0407;Vale de Salgueiro
040734;0407;Vale de Telhas
040738;0407;União das freguesias de Avantos e Romeu
040739;0407;União das freguesias de Avidagos, Navalho e Pereira
040740;0407;União das freguesias de Barcel, Marmelos e Valverde da Gestosa
040741;0407;União das freguesias de Franco e Vila Boa
040742;0407;União das freguesias de Freixeda e Vila Verde
040801;0408;Azinhoso
040802;0408;Bemposta
040803;0408;Bruçó
040804;0408;Brunhoso
040807;0408;Castelo Branco
040808;0408;Castro Vicente
040809;0408;Meirinhos
040811;0408;Paradela
040812;0408;Penas Roias
040813;0408;Peredo da Bemposta
040815;0408;Saldanha
040817;0408;São Martinho do Peso
040819;0408;Tó
040820;0408;Travanca
040821;0408;Urrós
040822;0408;Vale da Madre
040826;0408;Vila de Ala
040829;0408;União das freguesias de Brunhozinho, Castanheira e Sanhoane
040830;0408;União das freguesias de Mogadouro, Valverde, Vale de Porco e Vilar de Rei
040831;0408;União das freguesias de Remondes e Soutelo
040832;0408;União das freguesias de Vilarinho dos Galegos e Ventozelo
040901;0409;Açoreira
040903;0409;Cabeça Boa
040905;0409;Carviçais
040906;0409;Castedo
040909;0409;Horta da Vilariça
040910;0409;Larinho
040911;0409;Lousa
040913;0409;Mós
040916;0409;Torre de Moncorvo
040918;0409;União das freguesias de Adeganha e Cardanha
040919;0409;União das freguesias de Felgar e Souto da Velha
040920;0409;União das freguesias de Felgueiras e Maçores
040921;0409;União das freguesias de Urros e Peredo dos Castelhanos
041002;0410;Benlhevai
041005;0410;Freixiel
041009;0410;Roios
041010;0410;Samões
041011;0410;Sampaio
041012;0410;Santa Comba de Vilariça
041013;0410;Seixo de Manhoses
041014;0410;Trindade
041015;0410;Vale Frechoso
041020;0410;União das freguesias de Assares e Lodões
041021;0410;União das freguesias de Candoso e Carvalho de Egas
041022;0410;União das freguesias de Valtorno e Mourão
041023;0410;União das freguesias de Vila Flor e Nabo
041024;0410;União das freguesias de Vilas Boas e Vilarinho das Azenhas
041103;0411;Argozelo
041107;0411;Carção
041108;0411;Matela
041109;0411;Pinelo
041110;0411;Santulhão
041113;0411;Vilar Seco
041114;0411;Vimioso
041115;0411;União das freguesias de Algoso, Campo de Víboras e Uva
041116;0411;União das freguesias de Caçarelhos e Angueira
041117;0411;União das freguesias de Vale de Frades e Avelanoso
041201;0412;Agrochão
041203;0412;Candedo
041204;0412;Celas
041206;0412;Edral
041207;0412;Edrosa
041208;0412;Ervedosa
041215;0412;Paçó
041216;0412;Penhas Juntas
041219;0412;Rebordelo
041221;0412;Santalha
041226;0412;Tuizelo
041227;0412;Vale das Fontes
041229;0412;Vila Boa de Ousilhão
041230;0412;Vila Verde
041232;0412;Vilar de Ossos
