dtmn;dt;município_dsg
1202;12;Arronches
1203;12;Avis
1204;12;Campo Maior
1205;12;Castelo de Vide
1206;12;Crato
1207;12;Elvas
1208;12;Fronteira
1209;12;Gavião
1210;12;Marvão
1211;12;Monforte
1212;12;Nisa
1213;12;Ponte de Sor
1214;12;Portalegre
1215;12;Sousel
1301;13;Amarante
1302;13;Baião
1303;13;Felgueiras
1304;13;Gondomar
1305;13;Lousada
1306;13;Maia
1307;13;Marco de Canaveses
1308;13;Matosinhos
1309;13;Paços de Ferreira
1310;13;Paredes
1311;13;Penafiel
1312;13;Porto
1313;13;Póvoa de Varzim
1314;13;Santo Tirso
1315;13;Valongo
1316;13;Vila do Conde
1317;13;Vila Nova de Gaia
1318;13;Trofa
1401;14;Abrantes
1402;14;Alcanena
1403;14;Almeirim
1404;14;Alpiarça
1405;14;Benavente
1406;14;Cartaxo
1407;14;Chamusca
1408;14;Constância
1409;14;Coruche
1410;14;Entroncamento
1411;14;Ferreira do Zêzere
1412;14;Golegã
1413;14;Mação
1414;14;Rio Maior
1415;14;Salvaterra de Magos
1416;14;Santarém
1417;14;Sardoal
1418;14;Tomar
1419;14;Torres Novas
1420;14;Vila Nova da Barquinha
1421;14;Ourém
1501;15;Alcácer do Sal
1502;15;Alcochete
1503;15;Almada
1504;15;Barreiro
1505;15;Grândola
1506;15;Moita
1507;15;Montijo
1508;15;Palmela
1509;15;Santiago do Cacém
1510;15;Seixal
1511;15;Sesimbra
1512;15;Setúbal
1513;15;Sines
1601;16;Arcos de Valdevez
1602;16;Caminha
1603;16;Melgaço
1604;16;Monção
1605;16;Paredes de Coura
1606;16;Ponte da Barca
1607;16;Ponte de Lima
1608;16;Valença
1609;16;Viana do Castelo
1610;16;Vila Nova de Cerveira
1701;17;Alijó
1702;17;Boticas
1703;17;Chaves
1704;17;Mesão Frio
1705;17;Mondim de Basto
1706;17;Montalegre
1707;17;Murça
1708;17;Peso da Régua
1709;17;Ribeira de Pena
1710;17;Sabrosa
1711;17;Santa Marta de Penaguião
1712;17;Valpaços
1713;17;Vila Pouca de Aguiar
1714;17;Vila Real
1801;18;Armamar
1802;18;Carregal do Sal
1803;18;Castro Daire
1804;18;Cinfães
1805;18;Lamego
1806;18;Mangualde
1807;18;Moimenta da Beira
1808;18;Mortágua
1809;18;Nelas
1810;18;Oliveira de Frades
1811;18;Penalva do Castelo
1812;18;Penedono
1813;18;Resende
1814;18;Santa Comba Dão
1815;18;São João da Pesqueira
1816;18;São Pedro do Sul
1817;18;Sátão
1818;18;Sernancelhe
1819;18;Tabuaço
1820;18;Tarouca
1821;18;Tondela
1822;18;Vila Nova de Paiva
1823;18;Viseu
1824;18;Vouzela
3101;31;Calheta
3102;31;Câmara de Lobos
3103;31;Funchal
3104;31;Machico
3105;31;Ponta do Sol
3106;31;Porto Moniz
3107;31;Ribeira Brava
3108;31;Santa Cruz
3109;31;Santana
3110;31;São Vicente
3201;32;Porto Santo
4101;41;Vila do Porto
4201;42;Lagoa
4202;42;Nordeste
4203;42;Ponta Delgada
4204;42;Povoação
4205;42;Ribeira Grande
4206;42;Vila Franca do Campo
4301;43;Angra do Heroísmo
4302;43;Praia da Vitória
4401;44;Santa Cruz da Graciosa
4501;45;Calheta de São Jorge
4502;45;Velas
4601;46;Lajes do Pico
4602;46;Madalena
4603;46;São Roque do Pico
4701;47;Horta
4801;48;Lajes das Flores
4802;48;Santa Cruz das Flores
4901;49;Corvo
